               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11298,            0.093503,            0.035865,                   0,                   0,                   0,                   0,                   0,                   0,                   0,               2e-05,               2e-05,             0.09982
                   1,             0.10652,             0.10945,            0.034227,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          4.9999e-05,          4.9999e-05,             0.09955
                   2,             0.10636,             0.10029,            0.033428,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          7.9995e-05,          7.9995e-05,             0.09928
                   3,             0.10472,            0.092878,             0.03198,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00010998,          0.00010998,             0.09901
                   4,             0.10261,            0.091583,            0.032077,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00013996,          0.00013996,             0.09874
                   5,             0.10143,            0.090111,            0.031404,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00016993,          0.00016993,             0.09847
                   6,             0.10051,            0.093386,            0.030948,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00019988,          0.00019988,              0.0982
                   7,            0.099603,            0.091156,             0.02968,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00022981,          0.00022981,             0.09793
                   8,             0.09665,            0.089591,            0.028581,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00025972,          0.00025972,             0.09766
                   9,            0.097179,            0.090211,            0.026807,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00028961,          0.00028961,             0.09739
                  10,            0.095151,            0.087184,            0.025295,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00031947,          0.00031947,            0.097119
                  11,            0.093033,            0.089663,            0.024425,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0003493,           0.0003493,            0.096849
                  12,            0.090858,            0.085419,            0.024443,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00037909,          0.00037909,            0.096579
                  13,            0.089885,            0.088711,            0.023602,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00040885,          0.00040885,            0.096309
                  14,            0.088252,            0.088458,             0.02407,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00043857,          0.00043857,            0.096039
                  15,            0.086371,            0.086407,            0.023063,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00046825,          0.00046825,            0.095768
                  16,            0.085337,            0.084664,             0.02244,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00049788,          0.00049788,            0.095498
                  17,            0.084609,            0.086732,            0.021416,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00052747,          0.00052747,            0.095227
                  18,            0.082504,            0.085615,            0.022305,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000557,            0.000557,            0.094957
                  19,            0.082327,             0.08728,            0.020522,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00058648,          0.00058648,            0.094686
                  20,            0.082242,            0.083425,            0.020607,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0006159,           0.0006159,            0.094416
                  21,            0.081062,            0.085363,            0.019505,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00064526,          0.00064526,            0.094145
                  22,            0.078919,            0.083787,            0.019038,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00067456,          0.00067456,            0.093875
                  23,             0.07847,            0.084953,            0.018364,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0007038,           0.0007038,            0.093604
                  24,            0.077493,            0.081927,            0.018276,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00073296,          0.00073296,            0.093333
                  25,            0.077505,            0.080316,            0.018112,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00076206,          0.00076206,            0.093062
                  26,            0.075887,            0.079134,            0.017731,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00079107,          0.00079107,            0.092791
                  27,            0.075199,            0.079402,            0.016712,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00082002,          0.00082002,             0.09252
                  28,            0.074303,            0.076971,            0.016988,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00084888,          0.00084888,            0.092249
                  29,            0.073441,            0.079573,            0.016151,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00087766,          0.00087766,            0.091978
                  30,            0.072767,            0.077647,            0.016257,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00090635,          0.00090635,            0.091706
                  31,            0.072195,            0.075773,            0.015538,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00093496,          0.00093496,            0.091435
                  32,            0.070769,            0.075405,            0.015546,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00096347,          0.00096347,            0.091163
                  33,            0.071175,            0.076001,            0.015338,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00099189,          0.00099189,            0.090892
                  34,            0.069993,             0.07415,            0.014972,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010202,           0.0010202,             0.09062
                  35,             0.06903,            0.073815,            0.014867,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010484,           0.0010484,            0.090348
                  36,            0.068448,            0.073195,            0.014619,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010766,           0.0010766,            0.090077
                  37,            0.068526,            0.074608,            0.014372,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011046,           0.0011046,            0.089805
                  38,            0.068008,            0.072688,            0.013837,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011325,           0.0011325,            0.089532
                  39,            0.067596,            0.073549,            0.014021,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011603,           0.0011603,             0.08926
                  40,            0.065917,            0.072763,            0.013388,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001188,            0.001188,            0.088988
                  41,            0.063927,            0.069194,            0.013645,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012155,           0.0012155,            0.088716
                  42,            0.064572,            0.069003,             0.01345,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001243,            0.001243,            0.088443
                  43,            0.064566,            0.070881,            0.013375,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012703,           0.0012703,             0.08817
                  44,            0.064277,            0.069297,            0.013535,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012975,           0.0012975,            0.087897
                  45,            0.063964,             0.06845,            0.012869,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013246,           0.0013246,            0.087625
                  46,            0.064026,            0.072272,             0.01282,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013515,           0.0013515,            0.087352
                  47,            0.062125,            0.068707,            0.012961,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013783,           0.0013783,            0.087078
                  48,            0.062961,            0.070625,            0.012316,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001405,            0.001405,            0.086805
                  49,            0.061774,            0.068742,            0.012758,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014315,           0.0014315,            0.086532
                  50,            0.061496,            0.066982,            0.012568,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014579,           0.0014579,            0.086258
                  51,            0.060753,            0.064424,            0.012664,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014842,           0.0014842,            0.085984
                  52,             0.06018,            0.064047,            0.012496,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0015103,           0.0015103,             0.08571
                  53,            0.060643,            0.067399,            0.012147,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0015362,           0.0015362,            0.085436
                  54,              0.0598,            0.063817,            0.012497,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0015621,           0.0015621,            0.085162
                  55,            0.060655,            0.066698,            0.012158,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0015877,           0.0015877,            0.084888
                  56,            0.060168,            0.068263,            0.011668,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016132,           0.0016132,            0.084613
                  57,            0.058743,            0.066692,            0.011881,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016386,           0.0016386,            0.084339
                  58,            0.059594,            0.066739,            0.011613,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016637,           0.0016637,            0.084064
                  59,            0.059414,            0.064385,            0.011754,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016888,           0.0016888,            0.083789
                  60,            0.059144,            0.064687,            0.011137,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0017136,           0.0017136,            0.083514
                  61,             0.05772,            0.065254,            0.011169,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0017383,           0.0017383,            0.083238
                  62,            0.057501,            0.063999,            0.011309,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0017628,           0.0017628,            0.082963
                  63,            0.057532,            0.064365,            0.010778,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0017872,           0.0017872,            0.082687
                  64,            0.059143,            0.064771,            0.011083,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018113,           0.0018113,            0.082411
                  65,            0.057821,            0.063709,            0.011534,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018353,           0.0018353,            0.082135
                  66,            0.056499,            0.062986,            0.011763,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018592,           0.0018592,            0.081859
                  67,            0.057018,            0.061794,            0.011275,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018828,           0.0018828,            0.081583
