               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.051173,             0.18612,            0.010931,                   0,                   0,                   0,                   0,                   0,                   0,                   0,               5e-05,               5e-05,             0.09955
                   1,            0.039751,            0.096117,            0.011235,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00011,             0.00011,             0.09901
                   2,            0.041202,            0.094875,            0.010597,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00016999,          0.00016999,             0.09847
                   3,            0.041851,             0.09962,           0.0083485,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00022997,          0.00022997,             0.09793
                   4,            0.039752,            0.083832,           0.0085125,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00028992,          0.00028992,             0.09739
                   5,            0.039077,            0.088809,           0.0075987,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00034986,          0.00034986,             0.09685
                   6,            0.038962,             0.09183,           0.0079181,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00040976,          0.00040976,             0.09631
                   7,            0.036348,            0.076359,            0.010128,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00046962,          0.00046962,             0.09577
                   8,             0.03656,            0.078645,           0.0075414,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00052944,          0.00052944,            0.095229
                   9,            0.036316,            0.076402,           0.0064701,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00058921,          0.00058921,            0.094689
                  10,            0.036477,            0.086303,           0.0072258,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00064892,          0.00064892,            0.094149
                  11,            0.037194,            0.078116,            0.006702,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00070858,          0.00070858,            0.093609
                  12,            0.034544,              0.0718,           0.0074914,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00076816,          0.00076816,            0.093068
                  13,             0.03548,            0.075494,           0.0068742,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00082768,          0.00082768,            0.092528
                  14,            0.034762,            0.071426,           0.0070705,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00088711,          0.00088711,            0.091987
                  15,            0.038491,            0.082078,           0.0078223,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00094646,          0.00094646,            0.091446
                  16,            0.035897,            0.076881,           0.0078824,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010057,           0.0010057,            0.090906
                  17,            0.040116,            0.099742,           0.0073217,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010649,           0.0010649,            0.090365
                  18,            0.034866,            0.074117,           0.0065347,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011239,           0.0011239,            0.089824
                  19,            0.038285,             0.10223,           0.0070144,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011829,           0.0011829,            0.089283
                  20,            0.035643,            0.071948,           0.0067732,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012417,           0.0012417,            0.088742
                  21,            0.034411,            0.068729,            0.011442,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013005,           0.0013005,              0.0882
                  22,             0.03572,            0.075212,           0.0062959,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001359,            0.001359,            0.087659
                  23,            0.038621,            0.080609,           0.0077279,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014175,           0.0014175,            0.087118
                  24,            0.034698,            0.077397,           0.0062991,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014758,           0.0014758,            0.086576
                  25,            0.036626,            0.076634,           0.0070882,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001534,            0.001534,            0.086034
                  26,             0.03868,            0.077958,           0.0069985,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001592,            0.001592,            0.085492
                  27,            0.034063,             0.07062,           0.0064894,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016499,           0.0016499,             0.08495
                  28,            0.035262,            0.080648,           0.0070191,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0017076,           0.0017076,            0.084408
                  29,            0.036074,            0.078754,           0.0072825,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0017652,           0.0017652,            0.083865
                  30,             0.03535,            0.074712,           0.0068949,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018226,           0.0018226,            0.083323
                  31,             0.03475,            0.071211,           0.0081158,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018798,           0.0018798,             0.08278
                  32,            0.033821,            0.073668,           0.0068849,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019368,           0.0019368,            0.082237
                  33,             0.03551,            0.073069,           0.0061786,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019936,           0.0019936,            0.081694
                  34,             0.03714,            0.083219,           0.0075772,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020502,           0.0020502,             0.08115
                  35,            0.033872,            0.066506,            0.006628,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021067,           0.0021067,            0.080607
                  36,            0.038245,            0.079948,           0.0068876,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021629,           0.0021629,            0.080063
                  37,            0.035071,            0.075344,           0.0063495,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022189,           0.0022189,            0.079519
                  38,            0.037941,            0.094754,           0.0077794,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022747,           0.0022747,            0.078975
