               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10754,             0.10958,            0.036522,                   0,                   0,                   0,                   0,                   0,                   0,                   0,               5e-05,               5e-05,             0.09955
                   1,             0.10174,             0.12875,            0.033735,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00010999,          0.00010999,             0.09901
                   2,             0.09851,             0.11498,            0.032458,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00016991,          0.00016991,             0.09847
                   3,            0.098249,             0.11082,            0.031267,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00022972,          0.00022972,             0.09793
                   4,            0.097386,             0.12299,            0.031291,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00028937,          0.00028937,            0.097389
                   5,            0.098227,             0.12577,            0.029948,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00034882,          0.00034882,            0.096849
                   6,            0.097187,             0.12362,            0.031853,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000408,            0.000408,            0.096308
                   7,            0.095194,             0.12222,            0.028878,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00046689,          0.00046689,            0.095767
                   8,            0.096099,             0.12674,            0.031721,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00052542,          0.00052542,            0.095225
                   9,            0.095132,              0.1147,            0.031039,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00058355,          0.00058355,            0.094684
                  10,            0.094627,             0.13408,            0.030538,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00064123,          0.00064123,            0.094141
                  11,            0.094685,             0.13133,            0.031253,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00069843,          0.00069843,            0.093598
                  12,            0.093893,              0.1203,            0.030253,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00075508,          0.00075508,            0.093055
                  13,            0.093266,             0.11935,            0.030721,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00081115,          0.00081115,            0.092511
                  14,            0.091926,             0.13259,            0.031346,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00086659,          0.00086659,            0.091967
                  15,            0.090405,             0.11893,            0.029882,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00092135,          0.00092135,            0.091421
                  16,            0.091349,             0.13481,            0.030425,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0009754,           0.0009754,            0.090875
                  17,            0.091056,             0.13739,            0.029706,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010287,           0.0010287,            0.090329
                  18,            0.088912,             0.11456,            0.028916,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010812,           0.0010812,            0.089781
                  19,            0.090837,             0.12703,            0.028005,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011328,           0.0011328,            0.089233
                  20,            0.089264,             0.11465,            0.028713,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011836,           0.0011836,            0.088684
                  21,            0.088582,             0.11302,             0.02871,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012334,           0.0012334,            0.088133
                  22,            0.088401,             0.11703,            0.028515,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012823,           0.0012823,            0.087582
                  23,             0.08722,             0.10992,            0.026966,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013302,           0.0013302,             0.08703
                  24,            0.086967,             0.10391,            0.026869,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001377,            0.001377,            0.086477
                  25,            0.087163,             0.10692,            0.026286,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014228,           0.0014228,            0.085923
                  26,            0.084942,             0.11115,            0.026495,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014674,           0.0014674,            0.085367
                  27,            0.085861,             0.10552,            0.026135,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0015109,           0.0015109,            0.084811
                  28,            0.083597,             0.10512,            0.027582,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0015533,           0.0015533,            0.084253
                  29,            0.086121,             0.10644,            0.025768,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0015944,           0.0015944,            0.083694
                  30,            0.084172,             0.10495,            0.025966,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016343,           0.0016343,            0.083134
                  31,            0.082891,              0.1108,            0.025908,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001673,            0.001673,            0.082573
                  32,            0.082519,             0.10318,            0.024629,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0017104,           0.0017104,             0.08201
                  33,             0.08047,             0.10566,            0.024883,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0017464,           0.0017464,            0.081446
                  34,             0.08134,             0.10755,            0.026177,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0017811,           0.0017811,            0.080881
                  35,            0.081573,             0.11503,            0.025433,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018144,           0.0018144,            0.080314
                  36,            0.078714,            0.097728,            0.026194,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018464,           0.0018464,            0.079746
                  37,            0.080876,             0.10679,            0.025453,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001877,            0.001877,            0.079177
                  38,            0.076743,            0.098539,            0.026941,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019061,           0.0019061,            0.078606
                  39,            0.077039,             0.10018,            0.024675,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019338,           0.0019338,            0.078034
                  40,             0.07646,            0.096539,            0.025279,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00196,             0.00196,             0.07746
                  41,             0.07919,             0.10275,            0.025751,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019848,           0.0019848,            0.076885
                  42,             0.07672,             0.10003,            0.025445,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020081,           0.0020081,            0.076308
                  43,            0.078131,            0.099694,            0.023794,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020298,           0.0020298,             0.07573
                  44,             0.07844,             0.10073,            0.024437,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020501,           0.0020501,             0.07515
                  45,            0.074928,             0.10031,            0.025115,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020689,           0.0020689,            0.074569
                  46,            0.077174,            0.099606,            0.025914,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020861,           0.0020861,            0.073986
                  47,             0.07843,            0.096913,            0.024402,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021019,           0.0021019,            0.073402
                  48,            0.076426,             0.10308,            0.023992,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021161,           0.0021161,            0.072816
                  49,            0.074977,            0.099117,            0.024239,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021287,           0.0021287,            0.072229
                  50,            0.075435,             0.10046,            0.025507,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021399,           0.0021399,             0.07164
                  51,            0.076285,             0.11165,            0.021971,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021495,           0.0021495,            0.071049
