               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10996,              0.1006,            0.034448,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0001,              0.0001,              0.0991
                   1,             0.10324,            0.091829,            0.031794,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00021,             0.00021,             0.09811
                   2,             0.10174,            0.097418,            0.032481,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00031999,          0.00031999,             0.09712
                   3,             0.10129,            0.096447,            0.030397,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00042997,          0.00042997,             0.09613
                   4,             0.10005,            0.099215,             0.03191,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00053993,          0.00053993,             0.09514
                   5,            0.098122,            0.097024,            0.031039,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00064986,          0.00064986,             0.09415
                   6,            0.098225,            0.095334,            0.031175,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00075977,          0.00075977,             0.09316
                   7,            0.095462,            0.092546,            0.031373,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00086964,          0.00086964,             0.09217
                   8,            0.094018,            0.093011,            0.030335,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00097947,          0.00097947,            0.091179
                   9,            0.091609,            0.087222,            0.028813,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010893,           0.0010893,            0.090189
                  10,            0.090921,            0.086686,            0.027464,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001199,            0.001199,            0.089199
                  11,            0.090375,            0.090643,            0.025121,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013087,           0.0013087,            0.088209
                  12,            0.087796,            0.085947,            0.023615,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014183,           0.0014183,            0.087218
                  13,            0.087358,            0.087331,            0.023349,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0015278,           0.0015278,            0.086228
                  14,            0.088154,            0.085387,            0.022853,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016373,           0.0016373,            0.085237
