               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11148,             0.10975,             0.03698,                   0,                   0,                   0,                   0,                   0,                   0,                   0,               5e-05,               5e-05,             0.09955
                   1,             0.10208,             0.10926,            0.034305,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00011,             0.00011,             0.09901
                   2,             0.10147,             0.11624,            0.030826,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00017,             0.00017,             0.09847
                   3,             0.10062,             0.12973,            0.030215,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00022999,          0.00022999,             0.09793
                   4,            0.098056,             0.12468,            0.030143,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00028998,          0.00028998,             0.09739
                   5,            0.096739,             0.11992,            0.031194,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00034997,          0.00034997,             0.09685
                   6,            0.096342,             0.11573,            0.031719,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00040994,          0.00040994,             0.09631
                   7,            0.096478,             0.11322,            0.030246,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00046991,          0.00046991,             0.09577
                   8,             0.09719,             0.11523,            0.030356,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00052987,          0.00052987,             0.09523
                   9,             0.09465,             0.11839,            0.030716,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00058982,          0.00058982,             0.09469
                  10,            0.092861,             0.12185,            0.030174,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00064976,          0.00064976,             0.09415
                  11,            0.091807,             0.10896,            0.030123,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00070968,          0.00070968,             0.09361
                  12,            0.090882,             0.10626,            0.030627,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00076958,          0.00076958,             0.09307
                  13,            0.089528,             0.10628,            0.028891,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00082947,          0.00082947,            0.092529
                  14,            0.088835,             0.10546,            0.028565,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00088934,          0.00088934,            0.091989
                  15,            0.087629,             0.10465,            0.027376,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0009492,           0.0009492,            0.091449
                  16,            0.087805,             0.11385,            0.026866,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001009,            0.001009,            0.090909
                  17,            0.084872,             0.10674,            0.027642,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010688,           0.0010688,            0.090369
                  18,            0.083551,             0.10186,            0.027277,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011286,           0.0011286,            0.089829
                  19,             0.08314,             0.10768,            0.026434,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011884,           0.0011884,            0.089288
                  20,            0.083556,             0.11497,            0.024906,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012481,           0.0012481,            0.088748
                  21,            0.080982,             0.10496,            0.026366,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013078,           0.0013078,            0.088208
                  22,            0.079279,             0.10614,             0.02452,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013675,           0.0013675,            0.087668
                  23,            0.079541,             0.10004,            0.025795,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014272,           0.0014272,            0.087127
                  24,            0.080401,             0.10583,            0.024195,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014868,           0.0014868,            0.086587
                  25,            0.079281,             0.11746,            0.024236,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0015464,           0.0015464,            0.086046
                  26,            0.078074,            0.095296,            0.024722,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016059,           0.0016059,            0.085506
                  27,            0.079172,             0.10641,            0.024159,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016654,           0.0016654,            0.084965
                  28,            0.077681,             0.10626,            0.025811,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0017249,           0.0017249,            0.084425
                  29,            0.078242,             0.11293,            0.024667,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0017843,           0.0017843,            0.083884
                  30,            0.077965,             0.11068,            0.026338,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018437,           0.0018437,            0.083344
                  31,            0.077238,             0.10687,            0.024984,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019031,           0.0019031,            0.082803
                  32,            0.076163,             0.10227,            0.024437,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019624,           0.0019624,            0.082262
                  33,            0.078352,             0.10624,            0.023427,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020217,           0.0020217,            0.081722
                  34,            0.077232,             0.10024,            0.023906,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020809,           0.0020809,            0.081181
                  35,            0.074934,             0.11178,            0.024106,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021401,           0.0021401,             0.08064
                  36,              0.0753,             0.10157,            0.023706,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021992,           0.0021992,            0.080099
                  37,            0.075065,            0.097454,            0.022678,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022583,           0.0022583,            0.079558
                  38,            0.074011,            0.097083,             0.02407,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023174,           0.0023174,            0.079017
                  39,            0.074266,             0.10374,            0.020851,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023763,           0.0023763,            0.078476
                  40,            0.071758,            0.096566,            0.022419,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0024353,           0.0024353,            0.077935
                  41,            0.072742,             0.10747,            0.022202,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0024942,           0.0024942,            0.077394
                  42,            0.072906,            0.094351,            0.021002,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002553,            0.002553,            0.076853
                  43,            0.071033,            0.092377,            0.020148,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026117,           0.0026117,            0.076312
                  44,            0.072703,             0.10817,            0.020085,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026704,           0.0026704,             0.07577
                  45,            0.072481,            0.092852,            0.020405,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027291,           0.0027291,            0.075229
                  46,            0.071773,             0.10082,            0.018596,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027877,           0.0027877,            0.074688
                  47,            0.070037,            0.096372,            0.019722,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028462,           0.0028462,            0.074146
                  48,            0.070639,            0.093334,             0.01755,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0029047,           0.0029047,            0.073605
                  49,            0.068826,             0.08891,            0.018216,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0029631,           0.0029631,            0.073063
                  50,            0.067194,            0.086033,            0.016388,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030214,           0.0030214,            0.072521
                  51,            0.067931,            0.092368,            0.016979,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030797,           0.0030797,             0.07198
                  52,            0.069587,             0.09302,            0.016973,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0031378,           0.0031378,            0.071438
                  53,            0.071639,            0.094911,            0.016384,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.003196,            0.003196,            0.070896
                  54,            0.067001,            0.093109,            0.015695,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.003254,            0.003254,            0.070354
                  55,            0.069358,            0.094601,            0.016177,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.003312,            0.003312,            0.069812
                  56,            0.069587,            0.090547,            0.015987,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033699,           0.0033699,             0.06927
                  57,            0.067201,             0.10171,              0.0162,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0034277,           0.0034277,            0.068728
                  58,             0.06644,            0.090503,            0.015336,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0034855,           0.0034855,            0.068186
                  59,            0.067899,            0.099375,            0.016823,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0035432,           0.0035432,            0.067643
                  60,            0.067173,            0.093239,            0.015717,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0036008,           0.0036008,            0.067101
                  61,            0.066999,            0.088897,            0.015459,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0036583,           0.0036583,            0.066558
                  62,            0.066632,            0.080788,            0.015909,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0037157,           0.0037157,            0.066016
                  63,            0.067588,             0.10122,            0.014482,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0037731,           0.0037731,            0.065473
                  64,            0.066714,              0.0884,            0.015727,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0038304,           0.0038304,             0.06493
                  65,            0.065038,            0.094852,            0.014886,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0038875,           0.0038875,            0.064388
                  66,            0.066981,            0.084611,            0.014302,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0039446,           0.0039446,            0.063845
                  67,            0.063918,            0.085152,            0.016577,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0040016,           0.0040016,            0.063302
